Token ID,Hash,Background,Body,Eyes,Mouth,Hat,Costume,Hideen Trait,,
0,4a9b3f6056c7f6fe852fddb40cc8de79,Ultramarine,Lava,Fury,Croc,None,Adventurer,,,
1,cb1abda0021dcd2376b224f600a9c099,Sky,Ice,Hero,Sharp,None,Office Worker,,,
2,31dee312d84593d28113c13fda46b827,Sky,Dragon,Fury,Bog Sword,Pigtails,Navigator,,,
3,df9c6bf8fdd9170c94f67e45016e0162,Banana,Pink,Blue Eyes,Sharp,Windblown,Grass Skirt,,,
4,4736033d3a4d30e20f87abd7ac110940,Spring,Albino,Sunglasses,Nose Ring,Vampire Hair,Overalls,,,
5,003de6c648f0e97365a1625afb0d5039,Spring,Green,Blue Eyes,Chonky,Pigtails,Puffy Shirt,,,
6,3e223b8772bf5676c11fec2ced18ae8b,Aquamarine,Pink,Blue Eyes,Chonky,Unicorn,Swashbuckler,,,
7,c433cb99ee23f79a537d03e971b3a6df,Fresh Squeezed,Fur,Chill,Chonky,None,Adventurer,,,
8,26286d94a484d1e769c164c915b182c8,Mist,Fur,Lightning,Prehistoric,Pompadour,Ripped Jeans,,,
9,9c30334551c194f6ae969c7c460b0935,Arctic,Fur,Blue Eyes,Chonky,Knitted Cap,Swashbuckler,,,
10,03b13e6d2efddcc6fd69ac5505989efa,Old Money,Ice,Villain,Prehistoric,None,None,,,
11,1de61c9466d06a80a1dcdda8db713e10,Twilight,Fur,Fury,Toothpick,Pirate Hat,Swashbuckler,,,
12,0d952d3d2531051221517805666ed710,Spring,Pink,Hero,Sharp,Cowboy Hat,Adventurer,,,
13,2a7ba66fb36eb08dd84812488171a7f3,Spring,Fur,Three Eyes,Nose Ring,Cowboy Hat,Barbarian,,,
14,d834ab9c91b3459ff2a8094a88a57be5,Banana,Shadow,Frog,Toothpick,Pompadour,Puffy Shirt,,,
15,9b386a8be3c9b884d1f29a7b27162f16,Fresh Squeezed,Fur,Holo,Sharp,Love Struck,Scuba,,,
16,74c580299c6fb5d655438ef3f2e00074,Ultramarine,Rock,Eye Patch,Prehistoric,Horns,Ripped Jeans,,,
17,f8a7b3e904d8f5bf01154b156071f737,Mist,Fur,King Glasses,Prehistoric,Horns,Saddle,,,
18,2204329171f2c5cb7cb2aa6e2a64de6e,Old Money,Rock,Hippie,Stubble,Love Struck,Vacation,,,
19,06c18af61cc8040a44ef5becb0a914f7,Aquamarine,Albino,Enchanted,Hungry,None,White Suit,,,
20,c2e69bb6bef674d174a825d02386945b,Sky,Fur,Hippie,Chonky,Tiara,Royal,,,
21,89bdd4f6115d71ec53719b99cf001488,Banana,Purple,Hero,Stubble,Merch Hat,None,,,
22,55fbd4aa92826025cb7d774b6bec610e,Fresh Squeezed,Blue,Blue Eyes,Toothpick,Pigtails,Goth,,,
23,ecc432260bc7eef317f1079662d06b3a,Twilight,Pink,Blue Eyes,Stubble,Styled,Pirate,,,
24,80c47bdcb7ba0335f6aa11689a8a952a,Sky,Lava,Hippie,Croc,Horns,Ranger,,,
25,c086fea21256f16f0fbba56fbbe362ce,Twilight,Albino,Eye Patch,Sharp,Halo,Royal,,,
26,bed2ce8e43c7eec3bd108e2572f3a1d0,Banana,Pink,Retro Glasses,Chonky,Pigtails,Rain Slicker,,,
27,48697841f35fe811615e4abeb8f7a303,Rad,Purple,Scar,Chonky,Pulled Back,Grass Skirt,,,
28,4188f9d4b0943f3d6194f914076620ca,Mist,Fur,Chill,Chonky,Fire Hair,Party Animal,,,
29,72ba15e602dfd177c9ae74f0001297bf,Old Money,Albino,Hero,Stubble,Hunter,Navigator,,,
30,72eff89fcbca3eecf3d6263a3e7b7c64,Arctic,Dragon,Chill,Hungry,Fire Hair,Overalls,,,
31,b42959732606ca45b123f4cc778a067c,Rad,Fur,Side Eye,Toothpick,Foam Hat,Barbarian,,,
32,21dd66eace2ac8e2480738bd1c1e5d57,Rad,Blue,Office Glasses,Chonky,Pulled Back,Explorer,,,
33,2ae8b35cb525d60129592f32e73b0e02,Fresh Squeezed,Blue,Disguise,Chonky,Horns,Cowboy,,,
34,ee02f0d7b9f0c31073c0f3f4c914d9b6,Mist,Shadow,Villain,Mega Jaw,Pirate Hat,Festival,,,
35,838460dbd736e9725e4c8f6b34577268,Arctic,Blue,Frog,Stubble,Captain's Hat,None,,,
36,c42170097088086555ff130c57a8446d,Ultramarine,Blue,Hero,Chonky,Windblown,Saddle,,,
37,bc192d573cd6de4cc8acb9667b51ced6,Rad,Shadow,Chill,Sharp,Foam Hat,Navigator,,,
38,784a3db82e5b97a1f2001ebf533a4783,Banana,Green,Frog,Hungry,Bunny Ears,None,,,
39,fdd825fe9656b1b68b8848f38f14671c,Fresh Squeezed,Monster,Enchanted,Skeleton Keys,Bonk,Scuba,,,
40,da5d4776f6c7b6738cbcaede916e7836,Sky,Monster,Chill,Grin,Clown Hair,None,,,
41,35e0586e77e1f7ade70346934a9cb5b9,Mist,Green,Side Eye,Sharp,Foam Hat,None,,,
42,33ef14f99152cc796a2034532223cd9e,Twilight,Green,VR,Toothpick,None,Navigator,,,
43,55ec175be1f99fdeb45cb1cce5a093f7,Spring,Albino,Chill,Hungry,Comb Over,Festival,,,
44,9941a92755abd36598707feb74848ffe,Sky,Shadow,Monocle,Chonky,Bucket Hat,Shark Fin,,,
45,d6b8cfbd1e77951f6f0453849d631928,Banana,Spirit,Monocle,Nose Ring,Halo,None,,,
46,9cb147cf4b96225aa4adef6750ff22f2,Arctic,Dragon,VR,Sharp,Mohawk,Saddle,,,
47,14bb310c06f360089590facd3413c8d9,Ultramarine,Purple,Side Eye,Chonky,Love Struck,Grass Skirt,,,
48,a0e4561576fa69ad997e2f1db10f99df,Mist,Pink,Cyborg,Mutant,Horns,Puffer Jacket,,,
49,3819d0f1e9b54a259f30fd42bf65888f,Old Money,Shadow,Eye Patch,Grin,Mullet,Ranger,,,
50,659cd941b51bb2b50ae0d721c0381e17,Sky,Fur,Office Glasses,Toothpick,Foam Hat,Letterman Jacket,,,
51,5c6f108cc70de0e53783715f06a20a9c,Sky,Bot,Chill,Toothbrush,Unicorn,Cardio,,,
52,26647d2f676e3b0a70b963681ce50d70,Sky,Albino,Side Eye,Stubble,Halo,Letterman Jacket,,,
53,78b2b1b3e24690eef5d0be32cb7c2a9a,Rad,Ice,Retro Glasses,Hungry,Unicorn,Cardio,,,
54,03e89c749b0cf2995d3a40f2678cf271,Fresh Squeezed,Radioactive,Chill,Grin,Pulled Back,Office Worker,,,
55,db2ef220e9420d59ce377ba1dee47d07,Fresh Squeezed,Pink,Fury,Hungry,Bunny Ears,Tier1 Mech,,,
56,6b2ae1625c718c96d6ec61130b7b0892,Aquamarine,Gamer,VR,Mega Jaw,Bonk,Knight,,,
57,3d53eacb9eab512fdd862e2d3d970ba0,Fresh Squeezed,Gamer,Googly Eyes,Treasure,Clown Hair,Office Worker,,,
58,1db338d3db97c299c846cfa56ca7f6a0,Arctic,Purple,Side Eye,Toothpick,None,Overalls,,,
59,9f2b2de457cc2c6bf10d5f787f54ef80,Fresh Squeezed,Rock,VR,Toothpick,Unicorn,Overalls,,,
60,506bbc27f4898135e1962757dfe8f4e1,Mist,Cheetah,Three Eyes,Stubble,Cowboy Hat,Ripped Jeans,,,
61,4a6a1f123a938b0b0347918a103f85f3,Mist,Rock,Hero,Sharp,None,Cardio,,,
62,5039827582e7ccf9c67e036b2a2f89a1,Spring,Bot,Lightning,Stubble,Bunny Ears,Rain Slicker,,,
63,c5a3009fc7f31e516d0ba2858b9dfb92,Fresh Squeezed,Fur,Side Eye,Tusks,Captain's Hat,Vacation,,,
64,35a01468907f6f17c7db16cce672324b,Twilight,Dragon,Wide Eyes,Nose Ring,Tiara,Barbarian,,,
65,1b07900f38cca96601b12c736c6b6aa3,Twilight,Bot,Scar,Hungry,Dragon,Saddle,,,
66,0be67dc7b3c04c6b56c8e0b52806a4ac,Sky,Shadow,Side Eye,Hungry,Cowboy Hat,Vacation,,,
67,2f62efe0be3920b3ea54f94670fe9258,Spring,Blue,Frog,Prehistoric,Pigtails,Saddle,,,
68,075c0c9d3361df4d6d7667b15c870837,Ultramarine,Dragon,Chill,Chonky,None,None,,,
69,96fb0c9365d175b863deb9b2315ed1a5,Mist,Lava,VR,Chonky,Mullet,Punk Jacket,,,
